identifier,name,size,url,collection,mediatype,title,description,subject
tobacco_ezm02b00,VTS_01_2_512kb.mp4,57417942,https://archive.org/download/tobacco_ezm02b00/VTS_01_2_512kb.mp4,medicalheritagelibrary,movies,Smoking Ban/Smoking Laws,"Interview with Dr. Elders on whether nicotine should be regulated, and a discussion with Rep. Waxman and Brennan Dawson on the nicotine debate and Dr. Kessler's testimony; CBS This Morning segment on the proposed workplace smoking ban from the Dept. of Labor; NBC Today interview with Brennan Dawson and Scott Ballin on proposed FDA regulation and workplace bans.","tobacco, cigarette, regulation, nicotine, cigarette additive, workplace, tobacco industry, television"
tobacco_aga77e00,tobacco_aga77e00.mp4,15878966,https://archive.org/download/tobacco_aga77e00/tobacco_aga77e00.mp4,newsandpublicaffairs,movies,HEALTH CANADA ETS ADS.,Canadian PSAs in English and French on the dangers of secondhand smoke.,"tobacco, cigarette,tobacco related health concerns, secondhand smoke, lung cancer, advertising, anti-smoking advocacy, children, respiratory disease, cardiovascular disease, government"
tobacco_gvl37c00,2073017110_512kb.mp4,105024159,https://archive.org/download/tobacco_gvl37c00/2073017110_512kb.mp4,newsandpublicaffairs,movies,Perception Analyzer Testing Federal Lawsuit Advertising Development,"Ratings of various commercials designed to influence public opinion about federal lawsuit against tobacco companies.  A graph showing the extent to which people liked or disliked the idea about lawsuit is superimposed on a video of the commercial.  The ratings were taken in June 1999 in Charlotte, Louisville, Kansas City, and Las Vegas.","tobacco , cigarette , marketing research, youth, business activity, advertising, government, children, master settlement agreement, Attorney General, political activity"
tobacco_blk21c00,170600426_512kb.mp4,37363213,https://archive.org/download/tobacco_blk21c00/170600426_512kb.mp4,medicalheritagelibrary,movies,1987 Kool City Jam Video News Feature,"Video news release and b-roll footage about 1987 Kool City Jam Tour, includes interviews with Ribbie Jackson, Roger Troutman, and tour schedule.","tobacco, cigarette, advertising, marketing, promotional campaign, event sponsorship"
tobacco_lycw0111,2043962042-2044.mp4,417691922,https://archive.org/download/tobacco_lycw0111/2043962042-2044.mp4,newsandpublicaffairs,movies,FRESH FARM FOOTAGE (FROM STOCK FOR PROFIT) REEL 1- 3,"[Not available, 5/25/05.]","tobacco, cigarette"
tobacco_umw27a00,tobacco_umw27a00.mp4,688575017,https://archive.org/download/tobacco_umw27a00/tobacco_umw27a00.mp4,newsandpublicaffairs,movies,Little Rock Public Hearing Tape 1,"Hearing in Little Rock, Arkansas on local smoking ordinances/restrictions.","tobacco, cigarette,local ordinance, public place, secondhand smoke"
tobacco_vqy27a00,tobacco_vqy27a00.mp4,8974941,https://archive.org/download/tobacco_vqy27a00/tobacco_vqy27a00.mp4,newsandpublicaffairs,movies,"""Tobacco Institute/ Ads Promoting Children & Smoking"" Fox News at Ten KTTV-TV (Fox) Los Angeles  10:00-11:00 PM","TV spot on anti-tobacco advertising focused on youth. Deals with ""Helping Youth Say No.""","tobacco, cigarette,youth, advertising"
tobacco_luy27a00,tobacco_luy27a00.mp4,75027983,https://archive.org/download/tobacco_luy27a00/tobacco_luy27a00.mp4,newsandpublicaffairs,movies,Secondhand Smoke: Tom Lauria and Anne Marie O'Keefe,"News clip regarding the American Heart Association's report calling tobacco smoke a carcinogen and seeking the restriction of smoking in the workplace, public places and home. Debate on secondhand smoke between Tom Lauria and Anne Marie O'Keefe.","tobacco, cigarette, secondhand smoke, adverse effects, government, public place, smoking restriction"
tobacco_oiw27a00,tobacco_oiw27a00.mp4,1782515762,https://archive.org/download/tobacco_oiw27a00/tobacco_oiw27a00.mp4,newsandpublicaffairs,movies,"Scenes from ""Leaf"", scenes from tobacco auction, interview with farmer",Interview with a tobacco farmer.,"tobacco, cigarette,tobacco farmer"
tobacco_qhw27a00,tobacco_qhw27a00.mp4,349306405,https://archive.org/download/tobacco_qhw27a00/tobacco_qhw27a00.mp4,medicalheritagelibrary,movies,"""""""Magazine"""" CBS-TV  William Hobbs, R. J. Reynolds   Betty Carnes, Scottsdale, Arizona""",Profile of Betty Carnes an anti-smoking activist in Scottsdale Arizona responsible for getting laws passed to restrict smoking in some public places. William Hobbs of R J Reynolds speaks for the tobacco industry.,"tobacco, cigarette, anti-smoking advocacy, public place, smoking restriction,"
tobacco_rty27a00,tobacco_rty27a00.mp4,13712903,https://archive.org/download/tobacco_rty27a00/tobacco_rty27a00.mp4,medicalheritagelibrary,movies,"Wayne Purvis/Tobacco Tax   Kentuckiana' s NewsChannel   WHAS TV, Louisville, KY,  5:30 PM:  (01:35)",TV spot about Clinton's plan to raise cigarette taxes by a dollar a pack.,"tobacco, cigarette, tobacco tax"
tobacco_hpy27a00,tobacco_hpy27a00.mp4,17727585,https://archive.org/download/tobacco_hpy27a00/tobacco_hpy27a00.mp4,medicalheritagelibrary,movies,"1. ""Dr. McDonald""    2. ""Dr. Shepard"" 3. ""Children",Three commercials in favor of Initiative 115 in Montana; tobacco taxes would fund tobacco/health education.,"tobacco, cigarette, proposed legislation, taxation, tobacco control program, youth"
tobacco_klw27a00,tobacco_klw27a00.mp4,96341693,https://archive.org/download/tobacco_klw27a00/tobacco_klw27a00.mp4,newsandpublicaffairs,movies,"60 Minutes  ""Up In Smoke""","Report on fire-safe cigarettes.Names five brands of cigarettes considered to meet the fire-safe cigarette standards: Virginia Slims, More, More 100's, Capri, and Eve 100s. Named Organizations: Covington and Burling; National Institute of Standards and Technology.  Project Hamlet-Philip Morris' in-house project to develop a fire-safe cigarette.","tobacco, cigarette, fire safe cigarette, regulation, government, lobbying"
tobacco_mxxh0225,tobacco_mxxh0225.mp4,749811094,https://archive.org/download/tobacco_mxxh0225/tobacco_mxxh0225.mp4,newsandpublicaffairs,movies,HOWARD A ENGLE M.D. ETC. ET AL. V. RJ REYNOLDS TOBACCO COMPANY ETC. ET AL. DEPOSITION OF ANDREW SCHINDLER. FILE 1 OF 3.,N,"tobacco, cigarette,<a href='https://www.archive.org/browse.php?field=subject&mediatype=movies&collection=tobaccoarchives'>Browse by keywords in UCSF tobacco industry videos</a>"
tobacco_lny27a00,tobacco_lny27a00.mp4,342749725,https://archive.org/download/tobacco_lny27a00/tobacco_lny27a00.mp4,medicalheritagelibrary,movies,Political  GP II  Southern California Interviewing Service,Focus group discussion on tax proposals in California.,"tobacco, cigarette, taxation, cigarette tax, proposed legislation"
tobacco_orw27a00,tobacco_orw27a00.mp4,281710326,https://archive.org/download/tobacco_orw27a00/tobacco_orw27a00.mp4,medicalheritagelibrary,movies,1. Leaf  2. AG Hearings  3.  TAN Slides-In sections,"""History of tobacco farming and production. Excerpts from Congressional hearings on environmental tobacco smoke with tobacco industry scientists. TAN (Tobacco Action Network) recruiting video. Named Persons: Sterling, Theodor D. Dr.; Feinhandler, Sherwin, Dr. Named Organizations: University of Pittsburgh; University of California at San Diego; Tulane Medical Center; Indiana University; Howard University; University of South Dakota; Simon Fraser University; Harvard Medical School""","tobacco, cigarette, tobacco farmer, hearing, industry strategy, secondhand smoke, lobbying"
tobacco_vjy27a00,tobacco_vjy27a00.mp4,26801990,https://archive.org/download/tobacco_vjy27a00/tobacco_vjy27a00.mp4,newsandpublicaffairs,movies,"""Tobacco Institute ""Enough is Enough"" Action News WPVI-TV Philadelphia 12PM",Report on the tobacco industry's 'Enough is Enough' campaign claiming that anti-smoking legislation has gone far enough.,"tobacco, cigarette,industry strategy, advocacy, cigarette tax"
tobacco_hky27a00,tobacco_hky27a00.mp4,60836111,https://archive.org/download/tobacco_hky27a00/tobacco_hky27a00.mp4,newsandpublicaffairs,movies,"""Dr. Jack Peterson/Indoor Air Quality"" Northwest News KVAL-TV/Eugene, OR  5:00 PM",Report on proposed indoor air quality bill.,"tobacco, cigarette,proposed legislation, indoor air quality, ventilation"
tobacco_kww27a00,tobacco_kww27a00.mp4,113540111,https://archive.org/download/tobacco_kww27a00/tobacco_kww27a00.mp4,medicalheritagelibrary,movies,"""The Tobacco Institute Capital City Magazine, WTTG TV Washington DC, 8:30 AM: D.C. & Smoking""",Report on proposed smoking restriction legislation in Washington D.C. Discusses health effects of environmental tobacco smoke on non smokers. Named Organizations: Society of International Medicine; Giant Food,"tobacco, cigarette, secondhand smoke, adverse effects, local ordinance, public place"
tobacco_qsw27a00,tobacco_qsw27a00.mp4,90145144,https://archive.org/download/tobacco_qsw27a00/tobacco_qsw27a00.mp4,newsandpublicaffairs,movies,Self-Extinguishing Cigarette Compilation,Self-extinguishing cigarette compilation. Named Organizations Cont: AMA.,"tobacco, cigarette,fire safe cigarette, fire, lobbying, tobacco manufacturer, legislation"
tobacco_srp23e00,tobacco_srp23e00.mp4,100467352,https://archive.org/download/tobacco_srp23e00/tobacco_srp23e00.mp4,newsandpublicaffairs,movies,PROJECT: 489 920500 - 920600,"PM USA News Line May-June edition, hosted by Sheila Banks and produced by Philip Morris' Corporate Affairs department to communicate with employees. Segments include CEO Forum (organizational improvement), Business Briefs (excise tax, tobacco exports, campaign to prevent youth smoking), Ask Senior Management (discussion with Mike Szymanczyk about sales restructuring) and Focus On: secondhand smoke (new filtered air control technology developed by PM engineers).","tobacco, cigarette, public relations , tobacco industry employee , secondhand smoke, youth, youth access, business activity, sales, excise tax, international trade"
tobacco_roy27a00,tobacco_roy27a00.mp4,248244373,https://archive.org/download/tobacco_roy27a00/tobacco_roy27a00.mp4,medicalheritagelibrary,movies,Tobacco Institute Generic Footage Audio Ch. 2,Video from the Tobacco Institute showing the various stages of the tobacco growth/harvesting/ manufacturing processes.,"tobacco, cigarette, tobacco farmer, tobacco industry"
tobacco_nkdc0072,2080207280.mp4,12432528,https://archive.org/download/tobacco_nkdc0072/2080207280.mp4,newsandpublicaffairs,movies,IN THE LOOP ANIMATED OPEN W/ MUSIC,"Animated TV show opening. This video can be viewed upon request.; ILLE, ILLEGIBLE; VARI, ARCHIVE LOCATION VARIANCE SHEET","tobacco, cigarette"
tobacco_fpwg0225,tobacco_fpwg0225.mp4,1509308033,https://archive.org/download/tobacco_fpwg0225/tobacco_fpwg0225.mp4,newsandpublicaffairs,movies,Public Relations films regarding redevelopment of BAT's Southampton Millbrook site and BAT investments,Public relations films regarding redevelopment of BAT's Southampton Millbrook site; martketing of various BAT investments including Farmers Insurance Group; customer service focused interviews of employees including insurance companies and banks,"tobacco, cigarette,,<a href='https://www.archive.org/browse.php?field=subject&mediatype=movies&collection=tobaccoarchives'>Browse by keywords in UCSF tobacco industry videos</a>"
food_phbd0233,phbd0233.mp4,259448170,https://archive.org/download/food_phbd0233/phbd0233.mp4,newsandpublicaffairs,movies,Changing Foods in Changing Times,History of food in America and nutrition misinformation; argues carbohydrates are a good low fat source of energy and added nutrients and pre-sweetened cereals do not promote tooth decay; discusses fortified cereals.,"fluoride, single food animal research, fortified grains and cereals, vitamins and minerals,"
tobacco_xqwg0225,tobacco_xqwg0225.mp4,3021667,https://archive.org/download/tobacco_xqwg0225/tobacco_xqwg0225.mp4,newsandpublicaffairs,movies,Flavor Vapes Commercial - Lift,Video for Flavor Vapes featuring a woman smoking in an elevator,"tobacco, cigarette,,<a href='https://www.archive.org/browse.php?field=subject&mediatype=movies&collection=tobaccoarchives'>Browse by keywords in UCSF tobacco industry videos</a>"
tobacco_iwi52b00,VTS_01_512kb.mp4,8445855,https://archive.org/download/tobacco_iwi52b00/VTS_01_512kb.mp4,medicalheritagelibrary,movies,Skoal Bandits,Commercial for Skoal Bandits.,"smokeless tobacco, television, advertising"
tobacco_kyx27a00,tobacco_kyx27a00.mp4,20585428,https://archive.org/download/tobacco_kyx27a00/tobacco_kyx27a00.mp4,medicalheritagelibrary,movies,"The Tobacco Institute  News 4, WRC TV Wash DC  6:00 PM: DC Chamber of Commerce/Hearings on Smoking","Segment about smoking regulations in all workplaces [companies must have a smoking policy plan, but there is not necessarily no smoking permitted]","tobacco, cigarette, local ordinance, ventilation, workplace"
tobacco_cek52b00,tobacco_cek52b00.mp4,22329085,https://archive.org/download/tobacco_cek52b00/tobacco_cek52b00.mp4,newsandpublicaffairs,movies,WCCO TV WEBER FORSTER CASE. RUNNING TIME 0:03:31.,,"tobacco, cigarette"
tobacco_hdn02b00,VTS_01_1_512kb.mp4,135207023,https://archive.org/download/tobacco_hdn02b00/VTS_01_1_512kb.mp4,medicalheritagelibrary,movies,Focus Group: Decision Making and Shopping Behavior,"Smokers and non-smokers work on a group task aimed at examining shopping behavior and the effects of smoking deprivation on decision making. Only audio, no video","tobacco, cigarette, female, smoker, non-smoker, sales, retail outlet, business activity, research activity, smoker behavior"
tobacco_hdn02b00,VTS_01_2_512kb.mp4,123617632,https://archive.org/download/tobacco_hdn02b00/VTS_01_2_512kb.mp4,medicalheritagelibrary,movies,Focus Group: Decision Making and Shopping Behavior,"Smokers and non-smokers work on a group task aimed at examining shopping behavior and the effects of smoking deprivation on decision making. Only audio, no video","tobacco, cigarette, female, smoker, non-smoker, sales, retail outlet, business activity, research activity, smoker behavior"
tobacco_hdn02b00,VTS_01_3_512kb.mp4,123625121,https://archive.org/download/tobacco_hdn02b00/VTS_01_3_512kb.mp4,medicalheritagelibrary,movies,Focus Group: Decision Making and Shopping Behavior,"Smokers and non-smokers work on a group task aimed at examining shopping behavior and the effects of smoking deprivation on decision making. Only audio, no video","tobacco, cigarette, female, smoker, non-smoker, sales, retail outlet, business activity, research activity, smoker behavior"
tobacco_hdn02b00,VTS_01_4_512kb.mp4,19866746,https://archive.org/download/tobacco_hdn02b00/VTS_01_4_512kb.mp4,medicalheritagelibrary,movies,Focus Group: Decision Making and Shopping Behavior,"Smokers and non-smokers work on a group task aimed at examining shopping behavior and the effects of smoking deprivation on decision making. Only audio, no video","tobacco, cigarette, female, smoker, non-smoker, sales, retail outlet, business activity, research activity, smoker behavior"
tobacco_yak52b00,tobacco_yak52b00-1.mp4,183878268,https://archive.org/download/tobacco_yak52b00/tobacco_yak52b00-1.mp4,newsandpublicaffairs,movies,"HEARING ON PREMIER ST. LOUIS, MO. 2 HOURS. (RUNNING TIME 1:52:47).",4 parts.,"tobacco, cigarette"
tobacco_yak52b00,tobacco_yak52b00-2.mp4,191434110,https://archive.org/download/tobacco_yak52b00/tobacco_yak52b00-2.mp4,newsandpublicaffairs,movies,"HEARING ON PREMIER ST. LOUIS, MO. 2 HOURS. (RUNNING TIME 1:52:47).",4 parts.,"tobacco, cigarette"
tobacco_yak52b00,tobacco_yak52b00-3.mp4,186505180,https://archive.org/download/tobacco_yak52b00/tobacco_yak52b00-3.mp4,newsandpublicaffairs,movies,"HEARING ON PREMIER ST. LOUIS, MO. 2 HOURS. (RUNNING TIME 1:52:47).",4 parts.,"tobacco, cigarette"
tobacco_yak52b00,tobacco_yak52b00-4.mp4,142693331,https://archive.org/download/tobacco_yak52b00/tobacco_yak52b00-4.mp4,newsandpublicaffairs,movies,"HEARING ON PREMIER ST. LOUIS, MO. 2 HOURS. (RUNNING TIME 1:52:47).",4 parts.,"tobacco, cigarette"
tobacco_uxx27a00,tobacco_uxx27a00.mp4,39639210,https://archive.org/download/tobacco_uxx27a00/tobacco_uxx27a00.mp4,medicalheritagelibrary,movies,"Tobacco Institute Good Morning America, WJLA TV/ABC, Washington DC, 8:00 AM:  The Healthy Woman: Women & Smoking",Segment about increased number of women smoking/effects from this,"tobacco, cigarette, female, youth, advertising, tobacco industry"
tobacco_cln02b00,tobacco_cln02b00.mp4,293625049,https://archive.org/download/tobacco_cln02b00/tobacco_cln02b00.mp4,newsandpublicaffairs,movies,BAT AGM 1993,"Video produced for the 1993 annual meeting analyzing BAT Industries Group business development strategy and operations. Also includes clips about Group's units including Farmers Insurance Group, Brown and Williamson, and Canada Trust.","tobacco, cigarette, international trade, sales, profit, business activity, tobacco industry employee, tobacco processing, tobacco leaf, tobacco manufacturer, tobacco product, product development, marketing, smoker, advertising"
tobacco_zux27a00,tobacco_zux27a00.mp4,594464005,https://archive.org/download/tobacco_zux27a00/tobacco_zux27a00.mp4,newsandpublicaffairs,movies,On Smoking - Nightwatch CBS-TV Network,"Debate on public smoking  resolved: Because  the majority of Americans do not smoke, smoking should be banned everywhere except in private places. Banzhaf poured water on van den Haag's cigar.","tobacco, cigarette,smoking restrictions, public place, clean indoor air act, adverse effects, policy"
tobacco_ltgl0223,tobacco_ltgl0223.mp4,235821986,https://archive.org/download/tobacco_ltgl0223/tobacco_ltgl0223.mp4,newsandpublicaffairs,movies,JOHN TABB FRI,"HAND, HANDWRITTEN;NSM","tobacco, cigarette,<a href='https://www.archive.org/browse.php?field=subject&mediatype=movies&collection=tobaccoarchives'>Browse by keywords in UCSF tobacco industry videos</a>"
tobacco_qup91f00,tobacco_qup91f00.mp4,65736817,https://archive.org/download/tobacco_qup91f00/tobacco_qup91f00.mp4,newsandpublicaffairs,movies,"SEG NO.1: ABC WORLD NEWS TONIGHT, WJLA-TV, ABC, WASHINGTON, DC (19910411); SEG. NO.2: THE 10 O'CLOCK NEWS, WTTA-TV, FOX, WASHINGTON, DC (19910811); SEG. NO.3: CBS THIS MORNING, WUSA-TV, CBS, WASHINGTON, DC (19910412); SEG. NO.4: NEWSHOUR, N/A, CNN,  (19910411).",[News compilation] WITH 4 SEGMENTS. TOBACCO ADVERTISING SPORTING EVENTS  WASHINGTON DC,"tobacco, cigarette"
tobacco_pxp82i00,tobacco_pxp82i00.mp4,111636965,https://archive.org/download/tobacco_pxp82i00/tobacco_pxp82i00.mp4,medicalheritagelibrary,movies,MARLBORO RACING VIDEO MODULES FOR REGION 1 MEETING,,"tobacco, cigarette"
tobacco_otp91f00,tobacco_otp91f00.mp4,736048289,https://archive.org/download/tobacco_otp91f00/tobacco_otp91f00.mp4,newsandpublicaffairs,movies,"SEG NO.1: DAVID SUSSKIND SHOW - TAPE 1 OF 2 (WTTG-TV, FOX, WASHINGTON, DC (19780306); SEG. NO.2: DAVID SUSSKIND SHOW - TAPE 2 OF 2 (WTTG-TV, FOX, WASHINGTON, DC (19780306)",[News compilation] WITH 2 SEGMENTS,"tobacco, cigarette"
tobacco_dtx27a00,dtx27a00.mp4,178283088,https://archive.org/download/tobacco_dtx27a00/dtx27a00.mp4,newsandpublicaffairs,movies,Series Title: New Jersey Tonight - #113 TIFL #100,Call in television show discussing the right of employers to fire or not hire people who smoke outside the work area such as in the car or in their own home.,"workplace, employee rights, tobacco use, secondhand smoke, proposed legislation, cigarette, tobacco"
tobacco_pda72i00,tobacco_pda72i00.mp4,27219275,https://archive.org/download/tobacco_pda72i00/tobacco_pda72i00.mp4,medicalheritagelibrary,movies,SMOKING LOUNGES CNN MORNING NEWS @ 9:15 AM 970903,,"tobacco, cigarette"
tobacco_zyu17j00,tobacco_zyu17j00.mp4,9738231,https://archive.org/download/tobacco_zyu17j00/tobacco_zyu17j00.mp4,newsandpublicaffairs,movies,Video Clip - Philip Morris Commercial,,"tobacco, cigarette"
tobacco_kpd63a00,BatesMPEG2srcVHS_514660546_chunk_1_512kb.mp4,16963139,https://archive.org/download/tobacco_kpd63a00/BatesMPEG2srcVHS_514660546_chunk_1_512kb.mp4,newsandpublicaffairs,movies,R. J. Reynolds Tobacco Company video news release - new cigarette,"Presentation by Maura Payne-Ellis, R. J. Reynolds Senior Director of Public Relations about new smokeless cigarette that was developed by the company.","tobacco , cigarette , safer cigarette, tobacco industry employee, cigarette design, secondhand smoke, media advocacy, public relations"
tobacco_acr91f00,VTS_01_1_512kb.mp4,53295521,https://archive.org/download/tobacco_acr91f00/VTS_01_1_512kb.mp4,newsandpublicaffairs,movies,CBS Reports Interview with Walker Merryman - Tobacco Institute Tape #2,"Interview with Walker Merryman by Bill Kurtis for a CBS Reports program, ""The Golden Leaf,"" covering a range of topics including warning labels, regulation and the economic impact of the tobacco industry.","tobacco , cigarette , Surgeon General , campaign contribution , warning label , tobacco related health concerns , business activity , distribution , tobacco farmer , excise tax , Congress , regulation , advertising , lawsuit"
tobacco_ozj52b00,tobacco_ozj52b00-1.mp4,117825891,https://archive.org/download/tobacco_ozj52b00/tobacco_ozj52b00-1.mp4,newsandpublicaffairs,movies,TI 136 DECENTRALIZED MARKETING 1. J. BRANDHORST 2. P. BUESCHER 3. R CAAUFIELD 4. J. LECLERC 05-16-94 (940516) DUB 11-06-96 (961106). RUNNING TIME 1:18:20.,4 parts.,"tobacco, cigarette"
tobacco_ozj52b00,tobacco_ozj52b00-2.mp4,148846190,https://archive.org/download/tobacco_ozj52b00/tobacco_ozj52b00-2.mp4,newsandpublicaffairs,movies,TI 136 DECENTRALIZED MARKETING 1. J. BRANDHORST 2. P. BUESCHER 3. R CAAUFIELD 4. J. LECLERC 05-16-94 (940516) DUB 11-06-96 (961106). RUNNING TIME 1:18:20.,4 parts.,"tobacco, cigarette"
tobacco_ozj52b00,tobacco_ozj52b00-3.mp4,152203071,https://archive.org/download/tobacco_ozj52b00/tobacco_ozj52b00-3.mp4,newsandpublicaffairs,movies,TI 136 DECENTRALIZED MARKETING 1. J. BRANDHORST 2. P. BUESCHER 3. R CAAUFIELD 4. J. LECLERC 05-16-94 (940516) DUB 11-06-96 (961106). RUNNING TIME 1:18:20.,4 parts.,"tobacco, cigarette"
tobacco_ozj52b00,tobacco_ozj52b00-4.mp4,67570933,https://archive.org/download/tobacco_ozj52b00/tobacco_ozj52b00-4.mp4,newsandpublicaffairs,movies,TI 136 DECENTRALIZED MARKETING 1. J. BRANDHORST 2. P. BUESCHER 3. R CAAUFIELD 4. J. LECLERC 05-16-94 (940516) DUB 11-06-96 (961106). RUNNING TIME 1:18:20.,4 parts.,"tobacco, cigarette"
tobacco_gfy27a00,tobacco_gfy27a00.mp4,41463412,https://archive.org/download/tobacco_gfy27a00/tobacco_gfy27a00.mp4,newsandpublicaffairs,movies,New Cigarette Warning Labels,"Discussion regarding increased smoking among 17 to 18 year old young girls, warning labels and health issues.","tobacco, cigarette, youth, tobacco use, female, adverse effects, warning label"
tobacco_dzw27a00,tobacco_dzw27a00.mp4,32189857,https://archive.org/download/tobacco_dzw27a00/tobacco_dzw27a00.mp4,newsandpublicaffairs,movies,"Victoria Brenner News at Noon WOR-TV, Nov 20, Thurs, 12 Noon",Interview with Victoria Brynner about her father's Yul Brynner PSA for the American Cancer Society. Notes Philip Morris' anti anti smoking campaign featuring Milton Berle.,"tobacco, cigarette, anti-smoking advocacy, industry strategy, Public Service Announcement"
tobacco_ygy27a00,tobacco_ygy27a00.mp4,751864934,https://archive.org/download/tobacco_ygy27a00/tobacco_ygy27a00.mp4,newsandpublicaffairs,movies,"Smoking Regulations: Airlines, Tape 2",Testimony before the House Pubic Works Subcommittee on Aviation regarding airline smoking ban.,"tobacco, cigarette, testimony, smoking restriction, secondhand smoke, airplane, public policy"
tobacco_ccy27a00,tobacco_ccy27a00.mp4,88569724,https://archive.org/download/tobacco_ccy27a00/tobacco_ccy27a00.mp4,newsandpublicaffairs,movies,"Tobacco Institute ""Nasty""",Clips of Walker Merryman and Brennan Dawson on various talk shows.,"tobacco, cigarette,advertising, youth, industry strategy, tobacco industry"
tobacco_hjw62i00,tobacco_hjw62i00.mp4,20718005,https://archive.org/download/tobacco_hjw62i00/tobacco_hjw62i00.mp4,medicalheritagelibrary,movies,"THE BRAVO GROUP, CLIENT PHILIP MORRIS, TITLE 'FOLLOW THE LEADER' :30",,"tobacco, cigarette"
tobacco_vsy27a00,tobacco_vsy27a00.mp4,182947183,https://archive.org/download/tobacco_vsy27a00/tobacco_vsy27a00.mp4,medicalheritagelibrary,movies,Tobacco Issue This Week with David Brinkley WJLA TV Wash DC 11:30 AM,"News segment and discussions on the tobacco industry, including lawsuit(s) with Liggett, research activity done by tobacco companies, and advertising restrictions/prevention of youth access.","tobacco, cigarette, litigation, tobacco industry, safer cigarette, research activity, legislation"
tobacco_uow27a00,tobacco_uow27a00.mp4,387788631,https://archive.org/download/tobacco_uow27a00/tobacco_uow27a00.mp4,medicalheritagelibrary,movies,Gene Wilhoit - Planning CAP Workshop,Workshop on planning process.,"tobacco, cigarette, industry sponsorship"
tobacco_okw27a00,tobacco_okw27a00.mp4,164499527,https://archive.org/download/tobacco_okw27a00/tobacco_okw27a00.mp4,newsandpublicaffairs,movies,"The Tobacco Institute Saturday Magazine, WDVM TV(9), Washington, DC Sat.  11:00 AM: Smoking Issue","Talk show with discussion on smokers' vs. non-smokers' rights, with call-ins from viewers.","tobacco, cigarette,accommodation, workplace, secondhand smoke, adverse effects"
tobacco_lwy27a00,tobacco_lwy27a00.mp4,31621378,https://archive.org/download/tobacco_lwy27a00/tobacco_lwy27a00.mp4,medicalheritagelibrary,movies,Issue / Advocacy Presentation Reel,Series of political ads representing the work of Alex Castellano.,"tobacco, cigarette, political activity"
tobacco_aoo71d00,VTS_01_1_512kb.mp4,120002197,https://archive.org/download/tobacco_aoo71d00/VTS_01_1_512kb.mp4,medicalheritagelibrary,movies,"Deposition of Joseph E. Bumgarner in The State of Texas v. The American Tobacco Company, Et Al. 1 of 4 [Parts 1-4]","Deposition of Joseph E. Bumgarner in The State of Texas v. The American Tobacco Company.  Bumgarner was a research chemist at the R.J.. Reynolds Company (1967-1970) doing research on rabbits and other animals to determine the effect of cigarette smoke on the body's metabolism and respiratory system.

<a href=""http://www.archive.org/details/tobacco_aoo71d00a"" rel=""nofollow"">Click Here to View Part 1</a>

<a href=""http://www.archive.org/details/tobacco_aoo71d00b"" rel=""nofollow"">Click Here to View Part 2</a>

<a href=""http://www.archive.org/details/tobacco_aoo71d00c"" rel=""nofollow"">Click Here to View Part 3</a>

<a href=""http://www.archive.org/details/tobacco_aoo71d00d"" rel=""nofollow"">Click Here to View Part 4</a>","tobacco , cigarette , lung cancer , metabolism , animal subject , laboratory research , cigarette smoke , emphysema , respiratory disease , tobacco industry scientist , tobacco industry lawyer , legal activity"
tobacco_rvy27a00,tobacco_rvy27a00.mp4,15224491,https://archive.org/download/tobacco_rvy27a00/tobacco_rvy27a00.mp4,medicalheritagelibrary,movies,Strategic Solutions  Committee Against Unfair Taxes   Compilation Reel  151 Facts  103 Have You Read It?   161 Against,Ads in opposition to California's Prop 10 an increase in the cigarette tax.,"tobacco, cigarette, proposed legislation, excise tax, industry strategy"
tobacco_qjw27a00,tobacco_qjw27a00.mp4,30802348,https://archive.org/download/tobacco_qjw27a00/tobacco_qjw27a00.mp4,medicalheritagelibrary,movies,"""The Tobacco Institute  NBC Nightly News, WRC TV(4)/NBC  Washington, DC  7:00 PM""",News report regarding the effect of advertising on teen smoking.,"tobacco, cigarette, youth, advertising restriction, tobacco use, promotions"
tobacco_knw27a00,tobacco_knw27a00.mp4,68902798,https://archive.org/download/tobacco_knw27a00/tobacco_knw27a00.mp4,newsandpublicaffairs,movies,"The Tobacco Institute, Inc Good Morning, America, ABC-TV Wednesday, 7:40 AM Two Segments on Smoking","Report on the role of smoking in the movies, names celebrities who have died from lung cancer. Interview with three smokers who are in the process of quitting smoking.","tobacco, cigarette,movie, tobacco use, adverse effects, product placement"
tobacco_hry27a00,tobacco_hry27a00.mp4,28220737,https://archive.org/download/tobacco_hry27a00/tobacco_hry27a00.mp4,newsandpublicaffairs,movies,"""Anti-Smoking Campaign/Jolly Ann Davidson"" Good Morning Tampa Bay WTSP-TV/Tampa  6:00-7:00AM",TV spot with Jolly Ann Davidson about Tobacco: Helping Youth Say No.,"tobacco, cigarette,youth, peer influence, industry strategy"
tobacco_qdx27a00,tobacco_qdx27a00.mp4,35586888,https://archive.org/download/tobacco_qdx27a00/tobacco_qdx27a00.mp4,medicalheritagelibrary,movies,"CBS Morning, WUSA TV/CBS Wash DC,  8:40 AM: Sen. Frank Lautenberg  & Dave Brenton/Airline Smoking",Discussion with Sen. Lautenberg & Dave Brenton on proposed legislation to ban smoking on airlines due to health hazards from secondhand smoke.,"tobacco, cigarette, airplane, proposed legislation, secondhand smoke, adverse effects"
